time,atom0_x,atom0_y,atom0_z,atom0_vx,atom0_vy,atom0_vz,atom0_ax,atom0_ay,atom0_az,atom1_x,atom1_y,atom1_z,atom1_vx,atom1_vy,atom1_vz,atom1_ax,atom1_ay,atom1_az,pressure,PE,KE,temperature
0,3e-10,0,0,0,0,0,0,0,0,-3e+10,0,0,-0,0,0,0,0,0,0,-2.66657e-140,0,0
3e-15,3e-10,0,0,-1.20595e-139,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,9.64729e-304,2.33026e-281
6e-15,3e-10,0,0,-2.41191e-139,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.92946e-303,4.66053e-281
9e-15,3e-10,0,0,-3.61786e-139,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,4.82365e-303,1.16513e-280
1.2e-14,3e-10,0,0,-4.82382e-139,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,7.71783e-303,1.86421e-280
1.5e-14,3e-10,0,0,-6.02977e-139,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.25415e-302,3.02934e-280
1.8e-14,3e-10,0,0,-7.23572e-139,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.73651e-302,4.19448e-280
2.1e-14,3e-10,0,0,-8.44168e-139,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,2.41182e-302,5.82566e-280
2.4e-14,3e-10,0,0,-9.64763e-139,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,3.08713e-302,7.45685e-280
2.7e-14,3e-10,0,0,-1.08536e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,3.95539e-302,9.55408e-280
3e-14,3e-10,0,0,-1.20595e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,4.82365e-302,1.16513e-279
3.3e-14,3e-10,0,0,-1.32655e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,5.88485e-302,1.42146e-279
3.6e-14,3e-10,0,0,-1.44714e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,6.94605e-302,1.67779e-279
3.9e-14,3e-10,0,0,-1.56774e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,8.2002e-302,1.98072e-279
4.2e-14,3e-10,0,0,-1.68834e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,9.45435e-302,2.28366e-279
4.5e-14,3e-10,0,0,-1.80893e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.09014e-301,2.6332e-279
4.8e-14,3e-10,0,0,-1.92953e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.23485e-301,2.98274e-279
5.1e-14,3e-10,0,0,-2.05012e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.39886e-301,3.37888e-279
5.4e-14,3e-10,0,0,-2.17072e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.56286e-301,3.77503e-279
5.7e-14,3e-10,0,0,-2.29131e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.74616e-301,4.21778e-279
6e-14,3e-10,0,0,-2.41191e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.92946e-301,4.66053e-279
6.3e-14,3e-10,0,0,-2.5325e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,2.13205e-301,5.14988e-279
6.6e-14,3e-10,0,0,-2.6531e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,2.33465e-301,5.63924e-279
6.9e-14,3e-10,0,0,-2.77369e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,2.55653e-301,6.1752e-279
7.2e-14,3e-10,0,0,-2.89429e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,2.77842e-301,6.71116e-279
7.5e-14,3e-10,0,0,-3.01488e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,3.0196e-301,7.29373e-279
7.8e-14,3e-10,0,0,-3.13548e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,3.26079e-301,7.87629e-279
8.1e-14,3e-10,0,0,-3.25608e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,3.52126e-301,8.50546e-279
8.4e-14,3e-10,0,0,-3.37667e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,3.78174e-301,9.13464e-279
8.7e-14,3e-10,0,0,-3.49727e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,4.06151e-301,9.81041e-279
9e-14,3e-10,0,0,-3.61786e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,4.34128e-301,1.04862e-278
9.3e-14,3e-10,0,0,-3.73846e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,4.64035e-301,1.12086e-278
9.6e-14,3e-10,0,0,-3.85905e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,4.93941e-301,1.1931e-278
9.9e-14,3e-10,0,0,-3.97965e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,5.25777e-301,1.26999e-278
1.02e-13,3e-10,0,0,-4.10024e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,5.57614e-301,1.34689e-278
1.05e-13,3e-10,0,0,-4.22084e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,5.91379e-301,1.42845e-278
1.08e-13,3e-10,0,0,-4.34143e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,6.25145e-301,1.51001e-278
1.11e-13,3e-10,0,0,-4.46203e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,6.6084e-301,1.59623e-278
1.14e-13,3e-10,0,0,-4.58262e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,6.96535e-301,1.68245e-278
1.17e-13,3e-10,0,0,-4.70322e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,7.34159e-301,1.77333e-278
1.2e-13,3e-10,0,0,-4.82382e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,7.71783e-301,1.86421e-278
1.23e-13,3e-10,0,0,-4.94441e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,8.11337e-301,1.95975e-278
1.26e-13,3e-10,0,0,-5.06501e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,8.50891e-301,2.05529e-278
1.29e-13,3e-10,0,0,-5.1856e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,8.92375e-301,2.15549e-278
1.32e-13,3e-10,0,0,-5.3062e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,9.33858e-301,2.2557e-278
1.35e-13,3e-10,0,0,-5.42679e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,9.77271e-301,2.36056e-278
1.38e-13,3e-10,0,0,-5.54739e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.02068e-300,2.46542e-278
1.41e-13,3e-10,0,0,-5.66798e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.06603e-300,2.57494e-278
1.44e-13,3e-10,0,0,-5.78858e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.11137e-300,2.68446e-278
1.47e-13,3e-10,0,0,-5.90917e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.15864e-300,2.79865e-278
1.5e-13,3e-10,0,0,-6.02977e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.20591e-300,2.91283e-278
1.53e-13,3e-10,0,0,-6.15036e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.25511e-300,3.03167e-278
1.56e-13,3e-10,0,0,-6.27096e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.30431e-300,3.15052e-278
1.59e-13,3e-10,0,0,-6.39156e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.35544e-300,3.27402e-278
1.62e-13,3e-10,0,0,-6.51215e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.40658e-300,3.39753e-278
1.65e-13,3e-10,0,0,-6.63275e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.45964e-300,3.52569e-278
1.68e-13,3e-10,0,0,-6.75334e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.5127e-300,3.65385e-278
1.71e-13,3e-10,0,0,-6.87394e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.56769e-300,3.78668e-278
1.74e-13,3e-10,0,0,-6.99453e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.62267e-300,3.9195e-278
1.77e-13,3e-10,0,0,-7.11513e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.67959e-300,4.05699e-278
1.8e-13,3e-10,0,0,-7.23572e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.73651e-300,4.19448e-278
1.83e-13,3e-10,0,0,-7.35632e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.79536e-300,4.33662e-278
1.86e-13,3e-10,0,0,-7.47691e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.85421e-300,4.47877e-278
1.89e-13,3e-10,0,0,-7.59751e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,1.91499e-300,4.62557e-278
1.92e-13,3e-10,0,0,-7.7181e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,1.97577e-300,4.77238e-278
1.95e-13,3e-10,0,0,-7.8387e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,2.03847e-300,4.92385e-278
1.98e-13,3e-10,0,0,-7.9593e-138,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,2.10118e-300,5.07532e-278
